plu_no,description
1378,MARINATED PORK SPARE RIBS
1379,SMOKED PORK HOCKS
1380,CHICKEN MARYLAND
1381,LAMBS FRY
1382,PORK FOREQUARTER BONELESS & ROLLED
1383,CHICKEN THIGH FILLET SKIN ON
1384,SMOKED SPECK
1385,VEAL STEAKS
1386,STEAKETTES
1387,MIXED CHICKEN PORTIONS
1388,STEAK SAUSAGES
1419,CHICKEN CHOPS
1420,PORK LEG CHOP
1421,CHICKEN KIEV GARLIC CRUMBED
1422,CHICKEN DRUMETTES
1423,LAMB NECKS
1424,RUMP STEAK THICK SLICED
1425,BEEF SAUSAGES
1426,LAMB MINCE
2000,RUMP PC HALF 150 GMS
2001,RUMP PC HALF 200 GMS
2002,RUMP PC HALF 250 GMS
2003,RUMP PC HALF 300 GMS
2004,RUMP PC HALF 350 GMS
2005,RUMP PC HALFS 400 GMS
2006,RUMP PC HALFS 280 GMS
2007,RUMP PC HALFS 450 GMS
2008,RUMP PC HALFS 500 GMS
2009,RUMP 400 GRAM
2010,RUMP PC HALF 160G
2011,170GMS HALF RUMP
2012,120 GMS RUMP PCS
2013,RUMP PC HALF 100 GMS
2014,250 GMS WAGYU RUMP
2015,RUMP PC FULL 250 GMS
2016,RUMP PC FULL 300 GMS
2017,RUMP PC FULL 350 GMS
2018,RUMP PC FULL 400 GMS
2019,RUMP PC FULL 450 GMS
2020,RUMP PC FULL 500 GMS
2021,RUMP PC FULL MSA 600 GMS
2022,1000GMS FULL RUMP
2024,RUMP PC FULL 450GM–480GM
2025,STRIPLOIN PC 150 GMS
2026,STRIPLOIN PC 200 GMS
2027,STRIPLOIN PC 250 GMS
2028,STRIPLOIN PC 300 GMS
2029,STRIPLOIN PC 350 GMS
2030,STRIPLOIN PC 400 GMS
2031,STRIPLOIN PC 450 GMS
2032,STRIPLOIN PC 500 GMS
2033,STRIPLOIN PC 280 GMS
2034,STRIPLOIN SPECIAL TRIM PC 250 GRAMS
2035,130 GM
2036,STRIPLOIN 100G
2037,STRIPLOIN 120G
2038,180GM STRIPLOIN
2039,300GM STRIPLOIN CENTRE CUT
2040,CUBE ROLL PC 100 GMS
2041,CUBE ROLL PC 150 GMS
2042,CUBE ROLL PC 200 GMS
2043,CUBE ROLL PC 250 GMS
2044,CUBE ROLL PC 300 GMS
2045,CUBE ROLL PC 350 GMS
2046,CUBE ROLL PC 400 GMS
2047,CUBE ROLL 220G
2048,120GM CUBE ROLL
2049,CLARE VALLEY GOLD 250G CUBE ROLL
2050,CUBE ROLL 170 GMS
2051,AMERICAN T BONE PC 250 GMS
2052,AMERICAN T BONE PC 300 GM
2053,AMERICAN T BONE PC 350 GMS
2054,AMERICAN T BONE PC 400 GMS
2055,AMERICAN T BONE PC 450 GMS
2056,AMERICAN T BONE PC 500 GMS
2057,AMERICAN T BONE PC 700 GMS
2058,AMERICAN T BONE 750GM
2059,AM T BONE 600GMS
2060,COUNTER T BONE PC 200 GMS
2061,COUNTER T BONE PC 250 GMS
2062,COUNTER T BONE PC 300 GMS
2063,COUNTER T BONE PC 350 GMS
2064,COUNTER T BONE PC 500 GMS
2070,TENDERLOIN CENTRE CUT
2071,TENDERLOIN PC 80 GMS
2072,TENDERLOIN PC 90 GMS
2073,TENDERLOIN PC 130 GMS
2074,TENDERLOIN PC 150 GMS
2075,TENDERLOIN PC 180 GMS
2076,TENDERLOIN PC 200 GMS
2077,TENDERLOIN PC 220 GM
2078,TENDERLOIN 250 GMS
2079,TENDERLOIN 300 GMS
2080,VEAL TENDERLOIN 10 X 80 GRAM
2081,VEAL TDR 180 GM
2082,220GM WAGYU TENDERLOIN
2083,160GMS TENDERLOIN
2084,WAGYU SCHNITZEL
2085,WAGYU RUMP
2086,WAGYU SCHNITZEL
2087,B FLY FILLET 300GMS
2088,BF KNUCKLE SANDWICH STK 2MM
2089,BF KNUCKLE SANDWICH STK 5MM
3000,100 GRAM X 10 YG BEEF SCHNITZEL
3001,110 GRAM X 10 YG BEEF SCHNITZEL
3002,120 GRAM X 10 YG BEEF SCHNITZEL
3003,130 GRAM X 10 YG BEEF SCHNITZEL
3004,140 GRAM X 10 YG BEEF SCHNITZEL
3005,150 GRAM X 10 YG BEEF SCHNITZEL
3006,160 GRAM X 10 YG BEEF SCHNITZEL
3007,170 GRAM X 10 YG BEEF SCHNITZEL
3008,180 GRAM X 10 YG BEEF SCHNITZEL
3009,190 GRAM X 10 YG BEEF SCHNITZEL
3010,200 GRAM X 10 YG BEEF SCHNITZEL
3011,240 GRAM X 10 YG BEEF SCHNITZEL
3012,80 GRAM X 10 YG BEEF SCHNITZEL
3013,70 GRAM X 10 YG BEEF SCHNITZEL
3014,90 GRAM X 10 YG BEEF SCHNITZEL
3015,KNUCKLE SANDWICH STEAK
3016,CUBE ROLL SANDWICH STEAK
3017,TOPSIDE SANDWICH STEAK
3018,100GM BEEF SCALLOPINI
3020,RIB STEAK 250 GMS
3021,RIB STEAK 300 GMS
3022,RIB STEAK 350 GMS
3023,RIB STEAK 400 GMS
3024,RIB STK 450 GMS
3025,RIB STK 500 GMS
3026,600 GMS RIB STKS
3028,VEAL RIB STEAK PC 300 GRAMS
3029,STRIPLOIN SCHNITZEL
3030,BLACK ANGUS SCHNITZEL
3031,BOBBY VEAL SLICED
3032,BLACK ANGUS SCHNITZEL 300GMS
4959,BUFFALO MINCE
4960,BUFFALO SAUSAGE
6027,EYE FILLET TENDERLOIN MIGNON GRAZIERS 250GM (PACK OF 4)
6029,EYE FILLET TENDERLOIN MIGNON GRAZIERS 300GM (PACK OF 4)
6030,OSSO BUCCO
6031,RIB EYE GRAZIERS 350GM (PACK OF 4)
6032,RIB EYE GRAZIERS 400GM (PACK OF 2)
6033,RIB EYE GRAZIERS 450GM (PACK OF 2)
6034,RIB EYE GRAZIERS 500GM (PACK OF 2)
6035,RIB EYE AMERICAN STYLE GRAZIERS 600GM (PACK OF 2)
6036,RIB EYE AMERICAN STYLE GRAZIERS 700GM (PACK OF 2)
6037,RIB EYE NOLAN PRIVATE 350GM (PACK OF 4)
6038,RIB EYE NOLAN PRIVATE 400GM (PACK OF 2)
6039,RIB FILLET CUBE ROLL GRAZIERS 200GM (PACK OF 4)
6040,RIB FILLET CUBE ROLL GRAZIERS 250GM (PACK OF 4)
6041,RIB FILLET CUBE ROLL GRAZIERS 300GM (PACK OF 4)
6042,RIB FILLET CUBE ROLL GRAZIERS 350GM (PACK OF 4)
6043,RIB FILLET MARBLE SCORE 2+ 300GM (PACK OF 4)
6044,RUMP GRAZIERS 1000GM (PACK OF 2)
6045,RUMP GRAZIERS 200GM (PACK OF 4)
6046,RUMP GRAZIERS 250GM (PACK OF 4)
6047,RUMP GRAZIERS 300GM (PACK OF 4)
6048,RUMP GRAZIERS 350GM (PACK OF 4)
6049,RUMP GRAZIERS 400GM (PACK OF 4)
6050,RUMP GRAZIERS 400GM FULL FACE (PACK OF 4)
6051,RUMP GRAZIERS 450GM (PACK OF 4)
6052,RUMP GRAZIERS 450GM FULL FACE (PACK OF 4)
6053,RUMP GRAZIERS 500GM (PACK OF 4)
6054,RUMP GRAZIERS 600GM (PACK OF 4)
6055,RUMP GRAZIERS 800GM (PACK OF 2)
6056,RUMP GRAZIERS CAPS (APPROX 1KG EACH)
6057,RUMP MARBLE SCORE GRAZIERS 2+ 300GM (PACK OF 4)
6058,RUMP MARBLE SCORE GRAZIERS 2+ 350GM (PACK OF 4)
6059,RUMP MARBLE SCORE GRAZIERS 2+ 400GM (PACK OF 4)
6060,RUMP MARBLE SCORE GRAZIERS 2+ 800GM (PACK OF 2)
6061,SIRLOIN STRIPLOIN GRAZIERS 200GM (PACK OF 4)
6062,SIRLOIN STRIPLOIN GRAZIERS 250GM (PACK OF 4)
6063,SIRLOIN STRIPLOIN GRAZIERS 300GM (PACK OF 4)
6064,SIRLOIN STRIPLOIN GRAZIERS 350GM (PACK OF 4)
6065,SIRLOIN STRIPLOIN MARBLE SCORE GRAZIERS 2+ 300GM (PACK OF 4)
6066,SIRLOIN STRIPLOIN MARBLE SCORE GRAZIERS 2+ 350GM (PACK OF 4)
6067,T-BONE GRAZIERS 350GM (PACK OF 2)
6068,T-BONE GRAZIERS 400GM (PACK OF 2)
6069,T-BONE GRAZIERS 450GM (PACK OF 2)
6070,T-BONE GRAZIERS 500GM (PACK OF 2)
6071,T-BONE CLUB NO FILLET 200GM (PACK OF 4)
6072,T-BONE CLUB NO FILLET 250GM (PACK OF 4)
6073,WAGYU BEEF DICED
6074,WAGYU RUMP GRAZIERS 250GM (PACK OF 4)
6075,WAGYU RUMP GRAZIERS 300GM (PACK OF 4)
6076,WAGYU RUMP GRAZIERS 350GM (PACK OF 4)
6077,WAGYU RUMP GRAZIERS 400GM (PACK OF 4)
6078,WAGYU RUMP ENDS GRAZIERS 150GM (PACK OF 10)
6079,WAGYU STRIPLOIN 250GM GOLD (1 PER PACK)
6080,WAGYU STRIPLOIN 300GM (PACK OF 4)
6081,WAGYU STRIPS
6082,EYE FILLET GRAZIERS 180G (PACK OF 4)
6083,T-BONE GRAZIERS 300GM (PACK OF 4)
6084,STEAK SANDWICH GRAIN 150G (PACK OF 10)
6085,NEW YORK ON THE BONE 350GM (PACK OF 2)
6086,RIB EYE GRAZIERS DRY AGE
6087,RUMP ENDS GRAZIERS 100GM (PACK OF 10)
6088,RUMP ENDS GRAZIERS 150GM (PACK OF 10)
6089,NEW YORK ON THE BONE 300GM (PACK OF 4)
6090,RIB FILLET CUBE ROLL BUDGET GRAZIERS 100GM (PACK OF 10)
6091,RIB FILLET CUBE ROLL BUDGET GRAZIERS 150GM (PACK OF 10)
6092,BEEF TENDERLOIN WHOLE 1.8KG UP
6093,BEEF SHORT RIBS WHOLE BONE IN
6094,WAGYU BRISKET (APPROX 5KG EACH)
6095,BEEF BRISKET
6096,EYE FILLET GRAZIERS MIGNON MINI
6097,BEEF TOMAHAWK (AVE WEIGHT 1.2KG PER PIECE)
6098,RIB FILLET 300GM OAKEY ANGUS RESERVE (PACK OF 4)
6099,FLANK STEAK
6100,VEAL BLADE (APPROX 3KG EACH)
6101,T-BONE GRAZIERS 750GM (PACK OF 2)
6102,PROMO T BONE 350GM (PACK OF 4)
6103,KANGAROO LOIN 100GM–130GM (FROZEN)
6104,KANGAROO RUMP MEDALLION (FROZEN)
6105,MEAT TRAY $20
6106,MEAT TRAY $30
6107,"BURGER ANGUS 165GM (PACK OF 6) FROZEN (MAY CONTAIN GLUTEN, SOY & SULPHITES)"
6108,"BEEF BURGER 225GM (PACK OF 8) FROZEN (MAY CONTAIN GLUTEN, SOY & SULPHITES)"
6109,"BURGER WAGYU 165GM (PACK OF 6) FROZEN (MAY CONTAIN GLUTEN, SOY & SULPHITES)"
6110,MEAT TRAY $15
6111,MEAT TRAY BREAKFAST $35
6112,MEAT TRAY MIXED $35
6113,SAUSAGE BEEF THICK
6114,SAUSAGE BEEF THIN
6115,SAUSAGE CHIPOLATAS BREAKFAST 2.5KG BAG
6116,SAUSAGE PORK THICK
6117,SAUSAGE PORK THIN
6118,MEAT TRAY $25
6119,MEAT TRAY RUMP $35
6120,MEAT TRAY $50
6121,"BURGER WAGYU 200G X 40 CARTON FROZEN (MAY CONTAIN GLUTEN, SOY & SULPHITES)"
6122,SAUSAGES BRATWURST
6123,SAUSAGES KNACKWURST
6124,KIDS PREMIUM BEEF BURGER 7.2KG CTN FROZEN
6125,MINCE PORK
6126,PORK DICED 25MM
6127,PORK LEG BONED AND ROLLED (APPROX 5KG EACH)
6128,PORK LOIN BONED AND ROLLED (APPROX 3KG EACH)
6129,PORK TENDERLOIN
6130,PORK USA RIBS (FROZEN)
6131,PORK ASIAN CUT
6132,PORK LOIN CHOPS
6133,PORK STRIPS
6134,PORK USA RIBS FULL PLATE
6135,PORK CUTLETS (3 PER PACK)
6136,PORK COLLAR BUTT
6137,PORK STRIPLOIN BONELESS RINDLESS
6138,PORK HOCKS
6139,PORK MEATY RIBLETS (15KG PER CARTON)
6140,PORK PRECOOKED RIBS (APPROX 15KG CARTON)
6141,PORK SHOULDER BONED AND ROLLED (APPROX 4KG EACH)
6142,CROCODILE TAIL MEAT / POROSUS
6143,WALLABY SHANKS LARGE
6144,LAMB DICED 25MM (2.5KG PACKS)
6145,LAMB FOREQUARTER CHOPS
6146,LAMB LEG BONED AND ROLLED (2KG EACH)
6147,LAMB LOIN CHOPS
6148,LAMB SHOULDER BONED AND ROLLED (3KG EACH)
6149,MINCE LAMB (2.5KG PACKS)
6150,OFFAL LAMB KIDNEY
6151,OFFAL LAMBS FRY
6152,LAMB FILLET
6153,LAMB FOREQUARTER RACKS
6154,LAMB RUMP CAP OFF
6155,MUTTON BACKSTRAPS
6156,LAMB SHANK DRUMSTICK
6157,LAMB CRUMBED CUTLETS (20 PER TRAY) FROZEN
6158,LAMB CUTLETS (10 PER TRAY) FRESH
6159,LAMB RACK 4 POINT
6160,LAMB BRAINS (4 PER TRAY)
6161,LAMB RIBS
6162,HAM ON THE BONE
6163,PANCETTA WHOLE
6164,HAM LEG EASY CARVE
6165,HAM SLICED CHAMPAGNE
6166,BACON RASHERS RINDLESS 10KG (4 X 2.5KG)
6167,KABANA 2.5KG
6168,PROSCUITTO SLICED 500GM
6169,BACON RASHERS RINDLESS 5KG (2 X 2.5KG)
6666,CHICKEN BONELESS COOKED CHICKEN BREAST
8000,CHICKEN BONELESS CHICKEN THIGH FILLET SKIN ON 150 GRAM
8001,CHICKEN BONELESS CHICKEN THIGH FILLET SKIN OFF 130 GRAM
8002,CHICKEN THIGH DICED 30 X 30 MM
8003,GSM CHICKEN THIGH FILLET SKIN OFF 150 GRAM
8004,CHICKEN THIGH FILLET SKIN ON 130 GRAM
8005,CHICKEN BREAST FILLET SKIN OFF 130 GRAM
8006,CHICKEN BREAST FILLET SKIN ON 130 GRAM
8007,CHICKEN THIGH STRIPS SMALL
8008,CHICKEN THIGH FILLET SMALL DICED SKIN OFF
8009,CHICKEN BONES
8010,CHICKEN BREAST FILLET SKIN OFF 130GM X 10 GSR
8011,CHICKEN NECKS STAFF PURCHACE
8012,CHICKEN BREAST FILLET SKIN ON 130GM X 12 GSR
