plu_no,description
124,LAMB BONE-IN LAMB SHANKS
125,LAMB BONE-IN LAMB SHANKS TIPPED
126,PORK BONE-IN PORK FQ CHOPS
127,PORK BONE-IN PORK LOIN CHOPS
128,PORK BONE-IN PORK CHOPS
129,PORK BONELESS LEG ROAST
130,LAMB BONE-IN LAMB FILLET
131,PORK BONE-IN PORK SPARE RIBS
132,LAMB BONE-IN DICED LAMB
133,PORK BONE-IN PORK SAUSAGES
134,LAMB BONE-IN LAMB FLAPS
135,LAMB BONE-IN LAMB BBQ CHOPS
136,LAMB BONE-IN LAMB LOIN CHOPS
137,LAMB BONELESS LAMB LEG ROAST
138,LAMB BONE-IN LAMB RUMP CAP ON
139,LAMB BONE-IN HAND DICED LAMB
140,LAMB BONE-IN LAMB DICED
141,LAMB BONE-IN LAMB STEAK MARINATED
142,LAMB BON-IN LAMB CHUMP CHOP
143,CHICKEN BREAST FILLET
144,CHICKEN THIGH FILLET
145,LAMB EASY CARVE
146,ASIAN LAMB
147,LAMB SCHNITZEL
148,CORNED SILVERSIDE CONTAINS NITRITE
149,BEEF BONE-IN OX TAIL
151,LAMB BRAINS
152,STEAK & KIDNEY DICED
153,LAMB BONELESS LAMB KIDNEYS
154,LAMB BONE-IN LAMB SHANKS
155,LAMB BONELESS LAMB HEARTS
156,LAMB BONELESS LAMB YIROS MINCE
157,LAMB BONE-IN LAMB NECKS
158,BONELESS CHICKEN CRUMBED CHICKEN RISSOLES
159,THICK BBQ SAUSAGES
160,LAMB SCOTCH FILLET
161,LAMB TOPSIDE
162,KI LAMB RUMP
163,KI LAMB RACK
164,KI LAMB LEG
165,KI LAMB NECKS
166,CORNED LAMB RUMP CONTAINS NITRITE
167,KI LAMB FOREQUARTER
168,LAMB FOREQUARTER
169,LAMB SHANKS
170,BEEF ROAST
171,HOGGET LEG BONED & ROLLED
172,HOGGET LEG BONED ROLLED & ROAST PUMPED
173,HOGGET BACKSTRAP
174,CHICKEN BREAST SCHNITZEL
175,HOGGET FILLET
176,CHICKEN DRUMSTICK
177,CHICKEN PATTIES
178,BEFF STRIPS
187,BEEF STRIPS
188,BEEF SCHNITZEL
190,BONE IN CHICKEN CHICKEN WINGS
191,BONELESS BEEF PREMIUM MINCE
192,MUTTON LEG BONED ROLLED & ROAST PUMPED CONTAINS NITRITE
193,MUTTON LEG PRIMALS
194,MUTTON LEG STRIPS
195,MUTTON LEG DICED
196,MUTTON FILLETS
197,ASIAN MUTTON STRIPS
198,MUTTON BACKSTRAP
199,MUTTON BACKSTRAP DENUDED
200,PORK LEG BONE-IN
201,PORK LEG BONELESS
202,PORK LEG BONELESS ROLLED & PICKLED CONTAINS NITRITE
203,PORK LEG BONED & ROLLED
204,PORK LEG BONELESS ROLLED & SPLIT
205,PORK LEG BONELESS ROLLED & HAND TIED
206,PORK LEG BONELESS & RINDLESS
207,PORK LEG PRIMALS
208,PORK LOIN BONE IN
209,PORK LOIN BONELESS
210,PORK LOIN BONELESS & ROLLED
211,PORK LOIN BONELESS ROLLED & SEASONED
212,PORK LOIN CHOP
213,PORKERHOUSE
214,PORKERHOUSE RIND ON
215,PORK MEDALLION
216,PORK BUTTERFLY STEAKS
217,PORK FILLET
218,PORK BELLIE
219,PORK BELLIE BONELESS
220,PORK BELLIE BONELESS & RINDLESS
221,PORK SPARE RIBS
222,PORK SPARE RIB BONELESS
223,PORK SPARE RIB BONELESS & RINDLESS
224,PORK SCOTCH
225,PORK SCOTCH PICKLED CONTAINS NITRITE
226,PORK SPANISH NECK BONED & ROLLED
227,PORK SCOTCH SLICED
228,PORK FOREQUARTER
229,PORK FOREQUARTER BONELESS
230,PORK FOREQUARTER BONED & ROLLED
231,PORK FOREQUARTER BONELESS & RINDLESS
232,"PORK FOREQUARTER BONED, ROLLED & PICKLED CONTAINS NITRITE"
233,PORK FOREQUARTER CHOPS
234,AMERICAN PORK RIBS
235,PORK SCHNITZELS
236,PORK SCHNITZEL CRUMBED
237,PORK STRIPS
